epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4342.97,0.98683,0.702,1.04418,0.96046,0.92097,0.95358,0.74795,1.05995,0.6388,0.99194,0.007228,0.007228,0.007228
44,4428.55,1.003,0.71585,1.04992,0.94781,0.91431,0.9507,0.73772,1.10602,0.65594,1.00078,0.007162,0.007162,0.007162
45,4518.68,0.98404,0.69252,1.04006,0.96461,0.90992,0.95427,0.74637,1.05851,0.63109,0.99037,0.007096,0.007096,0.007096
46,4609.74,0.98774,0.69823,1.04514,0.94891,0.92916,0.95411,0.74836,1.05713,0.62652,0.98784,0.00703,0.00703,0.00703
47,4697.81,0.97283,0.68602,1.03825,0.97072,0.918,0.95815,0.75615,1.0436,0.62399,0.98437,0.006964,0.006964,0.006964
48,4786.85,0.98124,0.68442,1.04084,0.96187,0.91269,0.95987,0.75277,1.04662,0.61678,0.97861,0.006898,0.006898,0.006898
49,4874.6,0.97356,0.68157,1.04516,0.95088,0.93274,0.959,0.76159,1.02209,0.60974,0.9795,0.006832,0.006832,0.006832
50,4960.36,0.95919,0.67151,1.02843,0.97071,0.91949,0.9614,0.76246,1.01877,0.6045,0.97091,0.006766,0.006766,0.006766
51,5050.04,0.95835,0.66092,1.03043,0.97367,0.91552,0.95598,0.75166,1.07998,0.60983,0.98478,0.0067,0.0067,0.0067
52,5138.9,0.95861,0.66009,1.02735,0.97026,0.92442,0.96376,0.76712,1.0149,0.59466,0.96878,0.006634,0.006634,0.006634
53,5228.15,0.95431,0.6641,1.02521,0.96265,0.92765,0.96289,0.76191,1.02689,0.59554,0.96944,0.006568,0.006568,0.006568
54,5317.3,0.95998,0.66356,1.03205,0.97398,0.92023,0.96352,0.76776,1.01299,0.59735,0.96775,0.006502,0.006502,0.006502
55,5408.97,0.95677,0.65373,1.02539,0.96444,0.9322,0.96118,0.76643,1.0269,0.58697,0.96593,0.006436,0.006436,0.006436
56,5494.38,0.94777,0.6511,1.02166,0.97475,0.92476,0.96113,0.76621,1.01088,0.57926,0.96843,0.00637,0.00637,0.00637
57,5581.83,0.94672,0.64832,1.02307,0.96992,0.93038,0.96347,0.76694,1.02236,0.58023,0.96722,0.006304,0.006304,0.006304
58,5669.31,0.94482,0.63152,1.01614,0.96501,0.93782,0.96647,0.76716,1.02394,0.56769,0.96505,0.006238,0.006238,0.006238
59,5756.8,0.93604,0.63951,1.01516,0.97497,0.92481,0.96159,0.76536,1.00749,0.57829,0.96947,0.006172,0.006172,0.006172
60,5845.5,0.94515,0.64151,1.01586,0.96555,0.93877,0.96618,0.77447,0.98913,0.57061,0.96351,0.006106,0.006106,0.006106
61,5936.89,0.91673,0.62748,1.01031,0.97362,0.92849,0.96227,0.76676,1.02264,0.57111,0.96772,0.00604,0.00604,0.00604
62,6024.23,0.93114,0.62587,1.01277,0.97602,0.94086,0.96489,0.77231,1.00393,0.56299,0.95989,0.005974,0.005974,0.005974
63,6115.25,0.9373,0.63036,1.01363,0.97111,0.93619,0.96636,0.77113,1.00642,0.56692,0.96155,0.005908,0.005908,0.005908
64,6206.12,0.9137,0.62215,1.00263,0.96908,0.93513,0.96828,0.77663,0.9985,0.55477,0.9596,0.005842,0.005842,0.005842
65,6292.36,0.92813,0.62033,1.00851,0.96334,0.94544,0.96594,0.7776,0.99646,0.55574,0.95937,0.005776,0.005776,0.005776
66,6381.37,0.92273,0.6097,1.01219,0.97535,0.93198,0.9651,0.77234,1.00299,0.55678,0.96469,0.00571,0.00571,0.00571
67,6473.99,0.92204,0.61122,1.00475,0.96809,0.94384,0.96792,0.77622,1.00005,0.54914,0.9608,0.005644,0.005644,0.005644
68,6560.54,0.91261,0.60964,1.00025,0.97802,0.941,0.97105,0.77715,1.00505,0.54645,0.96012,0.005578,0.005578,0.005578
69,6650.34,0.91194,0.60511,1.00375,0.97154,0.94368,0.96887,0.77778,1.00128,0.54354,0.96182,0.005512,0.005512,0.005512
70,6738.72,0.89689,0.59467,0.99535,0.97912,0.9389,0.96927,0.78223,0.98732,0.53725,0.95543,0.005446,0.005446,0.005446
71,6825.85,0.91272,0.59735,1.00172,0.96375,0.94323,0.97009,0.78428,0.98489,0.53711,0.95215,0.00538,0.00538,0.00538
72,6914.35,0.89775,0.5855,0.99581,0.96636,0.94866,0.96956,0.77899,0.99655,0.53756,0.95469,0.005314,0.005314,0.005314
73,7006.2,0.90767,0.5921,1.00308,0.96833,0.95373,0.97189,0.78251,0.98573,0.52822,0.95102,0.005248,0.005248,0.005248
74,7091.55,0.88679,0.58854,0.99433,0.97178,0.9463,0.97074,0.78574,0.96523,0.53131,0.94808,0.005182,0.005182,0.005182
75,7183.72,0.89555,0.59434,0.99451,0.98039,0.9473,0.96984,0.78181,0.98221,0.53225,0.9563,0.005116,0.005116,0.005116
76,7273.44,0.90276,0.5833,0.99153,0.97166,0.95352,0.97316,0.78949,0.95602,0.51525,0.95098,0.00505,0.00505,0.00505
77,7361.11,0.89274,0.59038,0.99554,0.97672,0.94215,0.97052,0.78977,0.95819,0.51564,0.94735,0.004984,0.004984,0.004984
