epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8770.73,0.96212,0.67393,1.0554,0.95827,0.92999,0.96179,0.76537,1.02893,0.60548,0.99696,0.007228,0.007228,0.007228
44,8971.83,0.95235,0.67009,1.05347,0.9726,0.92825,0.96524,0.76562,0.99998,0.58514,0.98952,0.007162,0.007162,0.007162
45,9175.94,0.95585,0.66672,1.06094,0.97074,0.91318,0.96292,0.76724,1.01505,0.5853,0.99042,0.007096,0.007096,0.007096
46,9378.92,0.94483,0.6547,1.0542,0.948,0.9264,0.95821,0.75756,1.03531,0.61368,0.9954,0.00703,0.00703,0.00703
47,9617.26,0.95076,0.6484,1.05103,0.95646,0.93187,0.9632,0.77135,0.9919,0.57137,0.98207,0.006964,0.006964,0.006964
48,9827.81,0.93502,0.64085,1.04779,0.97741,0.93176,0.96508,0.77272,1.00341,0.56393,0.98961,0.006898,0.006898,0.006898
49,10055.4,0.92236,0.63574,1.04461,0.96926,0.93802,0.96672,0.76942,0.97866,0.55621,0.98141,0.006832,0.006832,0.006832
50,10261.8,0.92698,0.63537,1.05311,0.97098,0.93724,0.96798,0.77749,0.98733,0.55744,0.98352,0.006766,0.006766,0.006766
51,10456.9,0.9086,0.6218,1.04241,0.96955,0.93469,0.96633,0.77057,1.0019,0.55707,0.98588,0.0067,0.0067,0.0067
52,10661,0.9118,0.6253,1.03635,0.97239,0.93469,0.96646,0.77341,0.99873,0.55982,0.98391,0.006634,0.006634,0.006634
53,10861.8,0.91703,0.63971,1.04858,0.95924,0.94307,0.9704,0.78406,0.98043,0.54812,0.98322,0.006568,0.006568,0.006568
54,11065,0.9102,0.61681,1.04524,0.97312,0.93682,0.96705,0.78039,0.99136,0.54658,0.97907,0.006502,0.006502,0.006502
55,11301.7,0.90401,0.61615,1.0408,0.97013,0.9439,0.97095,0.7825,0.98621,0.53199,0.97979,0.006436,0.006436,0.006436
56,11510.8,0.90462,0.60977,1.02954,0.96739,0.9353,0.96865,0.78032,0.98053,0.53811,0.97557,0.00637,0.00637,0.00637
57,11777,0.89063,0.61448,1.0329,0.98095,0.9334,0.97208,0.79062,0.95562,0.52179,0.96685,0.006304,0.006304,0.006304
58,11990.8,0.89255,0.60866,1.03055,0.96943,0.94365,0.96855,0.78632,0.96257,0.52568,0.97191,0.006238,0.006238,0.006238
59,12186.7,0.89856,0.60108,1.02988,0.97284,0.94852,0.97232,0.79011,0.9665,0.52088,0.97145,0.006172,0.006172,0.006172
60,12388.1,0.89971,0.60562,1.02127,0.97402,0.94296,0.97053,0.78334,0.96636,0.52327,0.97077,0.006106,0.006106,0.006106
61,12569.4,0.88786,0.59262,1.02787,0.97483,0.93876,0.97158,0.78943,0.9508,0.51101,0.97013,0.00604,0.00604,0.00604
62,12779.1,0.87783,0.58589,1.02121,0.98162,0.94167,0.97073,0.7899,0.95739,0.51127,0.97051,0.005974,0.005974,0.005974
63,12976.3,0.87384,0.57631,1.0226,0.97345,0.95423,0.97174,0.78149,0.97999,0.51531,0.98005,0.005908,0.005908,0.005908
64,13181.4,0.87868,0.57956,1.01809,0.97677,0.94751,0.96989,0.78437,0.9762,0.51964,0.96793,0.005842,0.005842,0.005842
65,13374,0.86887,0.57564,1.01282,0.97337,0.95292,0.97144,0.78898,0.95055,0.50945,0.96802,0.005776,0.005776,0.005776
66,13675.5,0.87632,0.57119,1.02042,0.97566,0.9568,0.97347,0.78669,0.9663,0.50904,0.97031,0.00571,0.00571,0.00571
67,13857.9,0.86389,0.56828,1.01401,0.98088,0.95423,0.97391,0.78955,0.95768,0.4905,0.97355,0.005644,0.005644,0.005644
68,14072.4,0.87071,0.57002,1.00903,0.98704,0.94848,0.97484,0.79359,0.9479,0.48863,0.96007,0.005578,0.005578,0.005578
69,14270.6,0.86384,0.56641,1.01265,0.97713,0.95193,0.97251,0.79331,0.94686,0.49045,0.97036,0.005512,0.005512,0.005512
70,14474.2,0.87236,0.57002,1.014,0.98124,0.95055,0.97209,0.79425,0.9479,0.49941,0.9663,0.005446,0.005446,0.005446
71,14698.8,0.86453,0.56412,1.01855,0.97481,0.94744,0.96852,0.78822,0.95601,0.49565,0.97234,0.00538,0.00538,0.00538
72,14909.5,0.85378,0.56595,1.00578,0.98335,0.94556,0.97323,0.79703,0.93646,0.49561,0.96174,0.005314,0.005314,0.005314
73,15108.2,0.85289,0.55661,1.00751,0.97785,0.95083,0.97436,0.79947,0.9354,0.49635,0.96012,0.005248,0.005248,0.005248
74,15311.6,0.84245,0.54779,0.999,0.98316,0.95526,0.97405,0.7984,0.93055,0.48534,0.9602,0.005182,0.005182,0.005182
75,15501.5,0.84292,0.55069,1.00163,0.98785,0.95487,0.97705,0.79942,0.92485,0.47745,0.95965,0.005116,0.005116,0.005116
76,15712.2,0.84182,0.54806,1.00166,0.98104,0.94777,0.97373,0.79446,0.94079,0.48553,0.96747,0.00505,0.00505,0.00505
77,15925.7,0.82947,0.5399,0.99785,0.98211,0.95063,0.97282,0.79439,0.929,0.49045,0.96154,0.004984,0.004984,0.004984
